case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-03158: Streetlight complaint,"Streetlight near Sathya Nagar has been off for 8 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03159: Repeated informal demand (rephrased),This is not the first time — the sanitary inspector at Koyambedu has again asked for around Rs 6000 unofficially before processing my request.,Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03160: Streetlight complaint,"Streetlight near Periyar Nagar has been off for 14 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
"CASE-03161: Hospital negligence, patient death (rephrased)",Family alleges that delayed oxygen supply at the Riverside Layout government hospital led to a patient's death during an emergency.,Health Department / Hospital,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-03162: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Temple Street in 24 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03163: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Panchayat Road, non-functional for approximately 22 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03164: Streetlight complaint,"Streetlight near Medavakkam has been off for 22 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03165: Garbage complaint,Garbage truck has skipped Cross Cut Road for 6 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03166: Streetlight complaint,"Streetlight near Station Road has been off for 19 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03167: Bundled multi-issue complaint,"Water hasn't come in 4 days in Cross Cut Road, also the road outside is broken, also my neighbor built an illegal extension, also my pension is still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03168: Garbage complaint (rephrased),"Waste not collected in Main Bazaar Road — this is the 7th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03169: Suspected outbreak / contamination cluster (case 3 of 3),Third report of vomiting traced to food from the same stall near Temple Street.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-063
CASE-03170: Park complaint (rephrased),"The community park in Panchayat Road has been left unmaintained — broken play equipment, tall grass, not cleaned in 9 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03171: Threat via social media escalation (rephrased),Told the RTO agent handling my Gandhi Nagar case to be 'ready for what's coming' if I don't see action before I go public with this.,Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03172: Direct threat to official,"If my water connection isn't restored by tomorrow in Bharathi Nagar, I know where the ward officer lives, and I won't be responsible for what happens.",Water Supply / Sanitation + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03173: Direct bribe solicitation,"The linesman in Koyambedu office said my file 'will move faster' if I pay Rs 10000 in cash, unofficially.",Revenue Department / Land Records + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03174: Ambiguous jurisdiction - streetlight vs electricity theft,"Streetlight outage in Shastri Nagar might be linked to illegal power tapping from the same line, unclear who should investigate.",Electricity Board + Police Department,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03175: Suspected outbreak / contamination cluster (case 2 of 3),Family on Kilpauk experienced persistent cough and fever within hours of drinking tap water yesterday.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-066
CASE-03176: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Riverside Layout, non-functional for approximately 20 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03177: Bribe for faster pension disbursal,The field surveyor hinted that a payment of Rs 8000 would 'speed up' pension verification for an elderly applicant in Model Colony.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03178: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited East Coast Road side lane in 13 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03179: EPF withdrawal stuck (rephrased),"My EPF withdrawal claim, filed 28 days ago, is still unprocessed even after two reminder submissions.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03180: Industrial pollution affecting residents,"Factory near Bharathi Nagar releasing thick smoke at night, residents reporting breathing difficulty and eye irritation.",Environment / Pollution Control,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03181: Bundled multi-issue complaint,"Water hasn't come in 4 days in Green Park Layout, also the road outside is broken, also my neighbor built an illegal extension, also my pension is still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03182: Park complaint,Children's park in Railway Colony has broken swings and overgrown grass for over 5 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03183: Accident emergency response delay - fatality (rephrased),"A relative was struck by a truck near Block C colony signal; despite repeated calls, help took nearly 20 minutes and he passed away.",Fire & Emergency Services + Police Department + Health Department / Hospital,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-03184: Landslide-prone slope unaddressed,Cracks have appeared on the hillside slope above homes in Bypass Road area after last monsoon; no inspection has happened yet.,Environment / Pollution Control + Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03185: Park complaint (rephrased),"The community park in Gokulam Colony has been left unmaintained — broken play equipment, tall grass, not cleaned in 22 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03186: Ration card correction,"Requested correction on ration card (address change) for Pallavaram household filed 52 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03187: Bundled multi-issue complaint,"Water hasn't come in 4 days in Pallavaram, also the road outside is broken, also my neighbor built an illegal extension, also my pension is still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03188: Power Cut complaint (rephrased),"Electricity supply to Kilpauk has been unreliable, with 3 unscheduled outages recorded this week alone.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03189: Bus Delay complaint (rephrased),Commuters from Anna Nagar report the morning bus service running 2 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03190: Suspected outbreak / contamination cluster (case 3 of 3),"Similar persistent cough and fever reported after buying fruit from a different vendor near the local school in Purasaiwalkam, same neighborhood.",Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-099
CASE-03191: Pothole complaint,Potholes on the main road near Ward 15 bus stop have worsened after recent rain.,Roads & PWD + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03192: Toilet complaint,Public toilet block in Porur has no water supply and is unhygienic.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03193: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Lake View Road property was approved but not yet credited, 108 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03194: Bribe for faster pension disbursal,The sub-inspector hinted that a payment of Rs 5000 would 'speed up' pension verification for an elderly applicant in Ward 8.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03195: Noise complaint (rephrased),"A function in Old Ferry Road is running loudspeakers well past the permitted night-time cutoff, disturbing residents.",Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-03196: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Sector 9 property was approved but not yet credited, 88 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03197: Park complaint (rephrased),"The community park in Adyar has been left unmaintained — broken play equipment, tall grass, not cleaned in 13 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03198: Excessive repeat filing (rephrased),"A resident of Velachery has resubmitted the same streetlight complaint 40 times over two weeks, even after each was acknowledged.",Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03199: Toilet complaint,Public toilet block in Indira Nagar has no water supply and is unhygienic.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03200: Ration card correction (rephrased),My ration card address-update request from North Usman Road has been sitting unprocessed for 105 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03201: Pothole complaint,Potholes on the main road near Guindy bus stop have worsened after recent rain.,Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03202: Drain complaint (rephrased),Stormwater drain blockage in Old Ferry Road is causing waterlogging on the road even with minor rainfall; mosquito breeding risk.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03203: Repeated closure dispute (rephrased),"The pothole complaint from Block C colony has been closed as 'resolved' three separate times, and each time nothing had actually changed.",Roads & PWD,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03204: Park complaint (rephrased),"The community park in 5th Cross Street has been left unmaintained — broken play equipment, tall grass, not cleaned in 11 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03205: Park complaint,Children's park in Egmore has broken swings and overgrown grass for over 14 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03206: Property tax refund delay,Excess property tax refund approved for a Guindy property but not credited even after 119 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03207: Parking complaint (rephrased),"Footpaths near Avadi market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-03208: Distress signal buried in housing dispute,"We are about to be evicted from our home in Indira Nagar and I have nowhere to take my children, I can't keep fighting this alone anymore, I don't see a way out.",Housing & Urban Development,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-03209: Garbage complaint,Garbage truck has skipped Kamaraj Road for 7 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03210: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on T Nagar, non-functional for approximately 11 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03211: Excessive repeat filing,Same resident has re-filed a streetlight complaint in Velachery 25 times in two weeks despite acknowledgment each time.,Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03212: Bus Delay complaint (rephrased),Commuters from Shastri Nagar report the morning bus service running 4 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03213: Noise complaint,Loudspeaker from a commercial event in Chromepet continuing past permitted hours.,Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-03214: Power Cut complaint (rephrased),"Electricity supply to Vivekananda Street has been unreliable, with 5 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03215: Parking complaint,Vehicles parked illegally on the footpath near Guindy market block pedestrian access.,Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-03216: Animal attack in public area,"A stray cattle attack injured a pedestrian near Market Yard area market yesterday, second such incident this month.",Animal Husbandry / Municipal (Strays),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03217: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Medavakkam in 18 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03218: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ward 12, non-functional for approximately 7 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03219: Scholarship delay,"Government scholarship approved but not disbursed for 34 days, student needs it for fee payment.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03220: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Gokulam Colony in 5 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03221: Ambiguous jurisdiction overlap,Pothole in Sector 9 appears to be caused by a burst water pipe underneath the road surface.,Roads & PWD + Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03222: Drain complaint (rephrased),Stormwater drain blockage in Periyar Nagar is causing waterlogging on the road even with minor rainfall; mosquito breeding risk.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03223: Bribe for faster pension disbursal,The ward officer hinted that a payment of Rs 2500 would 'speed up' pension verification for an elderly applicant in Adyar.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03224: Encroachment blocking emergency access (rephrased),An ambulance was unable to pass through a lane near Kilpauk last week due to illegally parked vehicles and stalls.,Police Department + Municipal Corporation - Sanitation,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03225: Ambiguous jurisdiction - streetlight vs electricity theft,"Streetlight outage in Ward 19 might be linked to illegal power tapping from the same line, unclear who should investigate.",Electricity Board + Police Department,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03226: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Cross Cut Road, non-functional for approximately 13 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03227: Land mutation delay (rephrased),Purchased property in Perambur but the mutation record still hasn't been updated after 122 days at the revenue office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03228: Land mutation delay (rephrased),Purchased property in Gandhi Nagar but the mutation record still hasn't been updated after 49 days at the revenue office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03229: Pension release delay (rephrased),It has been 97 days since my pension file was submitted from Alandur and there has been no communication on its status.,Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03230: Toilet complaint (rephrased),"The public toilet facility in Canal Bank Road has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03231: Streetlight complaint,"Streetlight near Ambattur has been off for 4 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03232: Noise complaint,Loudspeaker from a commercial event in Cross Cut Road continuing past permitted hours.,Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-03233: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Hospital Road in 10 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03234: Park complaint (rephrased),"The community park in Chromepet has been left unmaintained — broken play equipment, tall grass, not cleaned in 25 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03235: Distress signal buried in housing dispute,"We are about to be evicted from our home in Sector 4 and I have nowhere to take my children, I can't keep fighting this alone anymore, I don't see a way out.",Housing & Urban Development,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-03236: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Adyar property was approved but not yet credited, 109 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03237: Bus Delay complaint,Bus route serving Lake View Road is consistently 4 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03238: EPF withdrawal stuck,"EPF withdrawal request submitted 48 days back, no response despite follow-ups.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03239: Distress signal buried in loan grievance,"The bank keeps rejecting my loan restructuring request for my Velachery shop, I've lost my job and I feel like giving up on everything at this point.",Banking / Financial Services,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-03240: Bribe for approval,The ward officer in Anna Nagar hinted that 'some arrangement' worth Rs 10000 is needed to approve my application faster.,Public Distribution System (Ration) + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03241: Threat against inspecting engineer (rephrased),The engineer inspecting the Egmore construction site was warned to 'watch himself' unless the case is closed.,Housing & Urban Development + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03242: Ration card correction (rephrased),My ration card address-update request from Krishna Colony has been sitting unprocessed for 29 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03243: Bribe for faster pension disbursal,The PDS shop dealer hinted that a payment of Rs 2500 would 'speed up' pension verification for an elderly applicant in Vivekananda Street.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03244: Water Tanker complaint,"Scheduled water tanker did not come to Saidapet on the assigned day, 7 days without supply now.",Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03245: Power Cut complaint (rephrased),"Electricity supply to Thiruvanmiyur has been unreliable, with 3 unscheduled outages recorded this week alone.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03246: Park complaint,Children's park in Krishna Colony has broken swings and overgrown grass for over 18 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03247: Land mutation delay (rephrased),Purchased property in Main Bazaar Road but the mutation record still hasn't been updated after 20 days at the revenue office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03248: Animal attack in public area (rephrased),"For the second time this month, a stray cattle attack near Periyar Nagar market has left a pedestrian injured.",Animal Husbandry / Municipal (Strays),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03249: Toilet complaint (rephrased),"The public toilet facility in Sathya Nagar has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03250: Power Cut complaint,"Frequent unscheduled power cuts in Ward 33, sometimes 4 times a day.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03251: Bundled multi-issue complaint,"Water hasn't come in 4 days in Tambaram, also the road outside is broken, also my neighbor built an illegal extension, also my pension is still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03252: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Ward 19 property was approved but not yet credited, 62 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03253: Bus Delay complaint,Bus route serving Kilpauk is consistently 6 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-03254: Hyperbole vs genuine threat,"This department in Canal Bank Road is useless, I swear I'll burn this whole office down if my file isn't processed.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03255: Land mutation delay,Land mutation entry after property purchase in Sector 4 pending for 101 days at the Tehsildar office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03256: Water Tanker complaint,"Scheduled water tanker did not come to Vadapalani on the assigned day, 17 days without supply now.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03257: Pothole complaint,Potholes on the main road near T Nagar bus stop have worsened after recent rain.,Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03258: Suspected outbreak / contamination cluster (case 3 of 3),Third report of vomiting traced to food from the same stall near Block A colony.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-096
CASE-03259: Garbage complaint,Garbage truck has skipped Cross Cut Road for 8 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03260: Power Cut complaint (rephrased),"Electricity supply to Sathya Nagar has been unreliable, with 2 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-03261: Women's safety near transit stop (rephrased),Women commuting near the Industrial Estate Road bus stop after dark have repeatedly reported harassment incidents.,Police Department + Women & Child Welfare,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-03262: Streetlight complaint,"Streetlight near Kodambakkam has been off for 23 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03263: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ward 19, non-functional for approximately 23 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03264: Park complaint,Children's park in Royapettah has broken swings and overgrown grass for over 16 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03265: Pension release delay (rephrased),It has been 123 days since my pension file was submitted from Perambur and there has been no communication on its status.,Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03266: Direct bribe solicitation (rephrased),A field surveyor at the Nehru Colony office hinted that an unofficial payment of Rs 1000 would speed up my pending file.,Revenue Department / Land Records + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-03267: Water Tanker complaint,"Scheduled water tanker did not come to Perungudi on the assigned day, 11 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03268: Property tax refund delay,Excess property tax refund approved for a College Road property but not credited even after 11 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03269: Suspicious identical wording,"Multiple complaints about a shopkeeper in Krishna Colony use the exact same three sentences, filed from different accounts on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03270: Direct threat to official,"If my water connection isn't restored by tomorrow in Royapettah, I know where the ward officer lives, and I won't be responsible for what happens.",Water Supply / Sanitation + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-03271: Single filer duplicate inflation (rephrased),One complainant has re-submitted the same parking-fine dispute 70 separate times across multiple platforms within a single week.,Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03272: Ambiguous jurisdiction - streetlight vs electricity theft,"Streetlight outage in Saidapet might be linked to illegal power tapping from the same line, unclear who should investigate.",Electricity Board + Police Department,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03273: Electrocution death from exposed wiring,Exposed live wire on a utility pole in Perungudi caused a fatal electrocution; residents say they had reported the wire before.,Electricity Board,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-03274: Water Tanker complaint,"Scheduled water tanker did not come to Guindy on the assigned day, 6 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03275: Bundled multi-issue complaint (rephrased),"Several things at once from Indira Nagar: no water for 4 days, a broken road outside, an illegal neighboring extension, and my pension still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03276: Streetlight complaint,"Streetlight near Koyambedu has been off for 9 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03277: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Ward 15 in 24 days despite the fixed schedule.,Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03278: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Saidapet in 8 days despite the fixed schedule.,Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03279: Power Cut complaint (rephrased),"Electricity supply to Guindy has been unreliable, with 4 unscheduled outages recorded this week alone.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-03280: Stray Dogs complaint (rephrased),"Residents of Anna Nagar are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-03281: Suspected outbreak / contamination cluster (case 3 of 3),"Neighbor on Green Park Layout also reports sudden high fever, suspects the water supply after the recent repair work.",Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-085
CASE-03282: Water Tanker complaint,"Scheduled water tanker did not come to Bypass Road area on the assigned day, 14 days without supply now.",Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03283: Park complaint,Children's park in Sathya Nagar has broken swings and overgrown grass for over 19 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-03284: Suspected outbreak / contamination cluster (case 1 of 3),Several households on Nehru Colony report persistent cough and fever after the municipal water supply resumed following pipeline repair.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-009
CASE-03285: Bundled multi-issue complaint,"Water hasn't come in 4 days in Indira Nagar, also the road outside is broken, also my neighbor built an illegal extension, also my pension is still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-03286: Certificate delay (rephrased),"Income certificate application from Canal Bank Road filed 57 days back remains unissued, deadline is approaching fast.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-03287: Suspicious identical wording (rephrased),"Several accounts filed complaints against the same Hospital Road shopkeeper using identical wording, all on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-03288: Water Tanker complaint,"Scheduled water tanker did not come to Ward 41 on the assigned day, 17 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
